index,Id,status,reputation_s,dt_0,dt_s,post,badge,reptation,learning,reciprocity,url,day
230,5841306,20,15000,2016-1-26,2019-3-23,0.379310345,0.310344828,31.25,3.229644561,4.104410496,1,1152
231,5841306,21,20000,2016-1-26,2019-8-6,1.942566944,1.614064312,147.0588235,16.18968674,20.36196892,1,1288
232,5858851,1,1,2016-1-29,2016-3-1,0.067124333,0.057971014,0.03125,0,0,0,32
233,5858851,2,5,2016-1-29,2016-3-14,0.068803753,0.059421423,0.307692308,0.014134276,0.010600707,0,45
234,5858851,3,10,2016-1-29,2016-3-30,0.259661983,0.224253531,0.625,0.025618375,0.019213781,0,61
235,5858851,4,15,2016-1-29,2016-4-15,0.0704,0.0608,0.3125,0.014134276,0.010600707,0,77
236,5858851,5,20,2016-1-29,2016-5-1,0.401374787,0.346641861,1.25,0.053886926,0.040415194,0,93
237,5858851,6,50,2016-1-29,2016-8-3,0.072249589,0.062397373,0.319148936,0.014134276,0.010600707,0,187
238,5858851,7,75,2016-1-29,2016-10-21,0.245550777,0.21206658,0.949367089,0.041866082,0.031399562,0,266
239,5858851,8,100,2016-1-29,2017-6-2,0.084210526,0.072727273,0.111607143,0.007295601,0.006549287,0,490
240,5858851,9,125,2016-1-29,2017-6-21,2.120958425,1.831736822,6.578947368,0.40170761,0.414575212,1,509
241,5858851,10,200,2016-1-29,2017-8-17,0.109725686,0.094763092,1.315789474,0.141621548,0.206806491,1,566
242,5858851,11,250,2016-1-29,2017-9-24,1.343188547,1.160026472,6.578947368,0.554907675,0.724303833,1,604
243,5858851,12,500,2016-1-29,2017-10-2,0.12446959,0.107496464,31.25,2.84092662,9.176493866,1,612
244,5858851,13,1000,2016-1-29,2017-10-18,3.378201728,2.917537856,62.5,5.579295659,15.4849624,1,628
245,5858851,14,1500,2016-1-29,2017-11-3,0.128843338,0.111273792,31.25,2.84092662,9.176493866,1,644
