Id,CreationDate,LastAccessDate,DownVotes,UpVotes,Reputation,Views,WebsiteUrl
6336479,2016-5-15,2018-11-30,691,831,23978,2609,
6336479,2016-5-15,2019-6-1,693,841,25693,2888,
6336479,2016-5-15,2019-8-31,700,843,26350,3001,
6337748,2016-5-15,2016-12-10,1,21,3614,135,
6337748,2016-5-15,2017-6-10,4,35,7079,297,
6337748,2016-5-15,2017-8-26,5,42,8505,375,
6337748,2016-5-15,2017-12-2,5,48,10344,470,
6337748,2016-5-15,2018-6-2,6,63,13152,652,
6337748,2016-5-15,2018-8-31,6,66,14578,725,
6337748,2016-5-15,2018-12-1,6,71,15796,791,
6337748,2016-5-15,2019-5-28,6,75,18735,916,
6337748,2016-5-15,2019-8-30,6,75,20179,954,
6344363,2016-5-17,2016-12-11,13,428,5896,397,
6344363,2016-5-17,2017-6-11,86,933,17588,1206,
6344363,2016-5-17,2017-8-27,90,1135,21155,1469,
6344363,2016-5-17,2017-12-3,95,1287,24661,1659,
6344363,2016-5-17,2018-5-29,100,1446,27955,1946,
6344363,2016-5-17,2018-9-2,100,1456,28433,2044,
6344363,2016-5-17,2018-11-30,100,1486,28857,2130,
6344363,2016-5-17,2019-6-1,100,1553,29838,2336,
6344363,2016-5-17,2019-9-1,100,1569,30268,2416,
6348498,2016-5-18,2016-12-11,86,83,776,84,
6348498,2016-5-18,2017-6-11,1883,1134,29014,3371,NULL
6348498,2016-5-18,2017-8-26,1988,1168,29652,3555,
6348498,2016-5-18,2017-12-3,2192,1257,31009,3780,
6348498,2016-5-18,2018-6-3,2263,1310,31671,4019,
6348498,2016-5-18,2018-9-1,2269,1335,31795,4116,
6348498,2016-5-18,2018-12-1,2281,1345,32073,4231,
6348498,2016-5-18,2019-6-2,2299,1376,31992,4484,
6348498,2016-5-18,2019-9-1,2305,1390,32427,4621,
6361531,2016-5-20,2016-6-23,0,0,38,0,NULL
6361531,2016-5-20,2017-6-11,31,989,6640,251,https://www.linkedin.com/in/scott-boston/
6361531,2016-5-20,2017-8-27,49,1958,16618,621,https://www.linkedin.com/in/scott-boston/
6361531,2016-5-20,2017-12-3,74,2515,23611,965,https://www.linkedin.com/in/scott-boston/
6361531,2016-5-20,2018-6-3,117,3471,37359,1649,https://www.linkedin.com/in/scott-boston/
6361531,2016-5-20,2018-9-2,136,3912,44801,1957,https://www.linkedin.com/in/scott-boston/
6361531,2016-5-20,2018-12-1,142,4127,49265,2180,https://www.linkedin.com/in/scott-boston/
6361531,2016-5-20,2019-6-2,174,4752,60849,2744,https://www.linkedin.com/in/scott-boston/
6361531,2016-5-20,2019-9-1,194,5117,67869,3040,https://www.linkedin.com/in/scott-boston/
6371459,2016-5-23,2016-12-10,26,141,4088,271,
6371459,2016-5-23,2017-6-10,43,244,9550,546,
6371459,2016-5-23,2017-8-26,48,278,11245,668,
6371459,2016-5-23,2017-12-2,55,332,13779,798,
6371459,2016-5-23,2018-6-3,70,394,17004,1061,
6371459,2016-5-23,2018-9-1,73,422,18441,1191,
6371459,2016-5-23,2018-12-1,74,449,19596,1308,
6371459,2016-5-23,2019-6-1,79,487,21961,1551,
6371459,2016-5-23,2019-8-31,79,497,22964,1621,
6394138,2016-5-28,2016-12-10,53,787,11390,390,
6394138,2016-5-28,2017-6-10,72,1057,14266,618,
6394138,2016-5-28,2017-8-25,76,1113,16084,719,
6394138,2016-5-28,2017-12-1,78,1173,17042,805,
6394138,2016-5-28,2018-6-2,78,1214,18549,886,
6394138,2016-5-28,2018-9-1,80,1295,19681,950,
6394138,2016-5-28,2018-12-1,80,1396,20181,987,
6394138,2016-5-28,2019-6-1,83,1626,21957,1100,
6394138,2016-5-28,2019-8-31,85,1680,22851,1133,
6400526,2016-5-30,2016-12-11,97,846,15337,1365,
6400526,2016-5-30,2017-6-10,149,1012,18309,1757,
6400526,2016-5-30,2017-8-26,230,1083,21126,2074,
6400526,2016-5-30,2017-12-2,378,1215,26195,2562,
6400526,2016-5-30,2018-6-3,528,1311,27742,2862,
6400526,2016-5-30,2018-9-1,549,1334,28340,3013,
6400526,2016-5-30,2018-12-1,580,1443,29708,3236,
6400526,2016-5-30,2019-6-1,603,1611,31062,3513,
6400526,2016-5-30,2019-8-31,604,1638,31262,3577,
6419007,2016-6-3,2016-12-10,57,854,4692,195,http://ericduminil.com
6419007,2016-6-3,2017-6-10,140,1967,25883,1551,http://ericduminil.com
6419007,2016-6-3,2017-8-26,162,2174,28926,1745,http://ericduminil.com
6419007,2016-6-3,2017-12-2,198,2778,34347,2057,http://ericduminil.com
6419007,2016-6-3,2018-6-2,221,3162,37270,2353,http://ericduminil.com
